"Date/Time";"Sensible Cooling";"Mech Vent + Nat Vent + Infiltration";"External Infiltration";"Total Cooling";"General Lighting";"Computer + Equip";"Occupancy";"Solar Gains Exterior Windows";"Zone Sensible Cooling";"Air Temperature";"Radiant Temperature";"Operative Temperature";"Room Electricity";"Lighting";"Cooling (Electricity)";"Outside Dry-Bulb Temperature";
;"kW";"ac/h";"kW";"kW";"kW";"kW";"kW";"kW";"kW";"°C";"°C";"°C";"kW";"kW";"kW";"°C";
"01/01/2002 01:00:00";"0";"0,705454";"-1,495194";"0";"0";"0";"0";"0";"0";"28,47085";"28,58768";"28,52927";"0";"0";"0";"26,5";
"01/01/2002 02:00:00";"0";"0,705072";"-1,49945";"0";"0";"0";"0";"0";"0";"27,97654";"28,1483";"28,06242";"0";"0";"0";"26";
"01/01/2002 03:00:00";"0";"0,704103";"-1,225041";"0";"0";"0";"0";"0";"0";"27,58327";"27,73254";"27,65791";"0";"0";"0";"26";
"01/01/2002 04:00:00";"0";"0,703806";"-1,12658";"0";"0";"0";"0";"0";"0";"27,21563";"27,34591";"27,28077";"0";"0";"0";"25,775";
"01/01/2002 05:00:00";"0";"0,703836";"-1,124078";"0";"0";"0";"0";"0";"0";"26,83486";"26,97129";"26,90307";"0";"0";"0";"25,4";
"01/01/2002 06:00:00";"0";"0,703792";"-1,109789";"0";"0";"0";"0";"1,606137";"0";"26,48636";"26,64357";"26,56496";"0";"0";"0";"25,075";
"01/01/2002 07:00:00";"0";"0,702614";"-0,757446";"0";"0";"0";"0";"9,172";"0";"26,43377";"26,6464";"26,54009";"0";"0";"0";"25,525";
"01/01/2002 08:00:00";"-45,37363";"0,696915";"1,342768";"-89,48908";"20,86597";"12,27962";"14,34798";"20,60874";"-44,21217";"24,04831";"27,51071";"25,77951";"12,27962";"20,86597";"48,90114";"26,15";
"01/01/2002 09:00:00";"-54,71628";"0,695131";"1,844404";"-78,81665";"20,86597";"12,27962";"15,71474";"28,64003";"-54,71627";"24";"28,73853";"26,36927";"12,27962";"20,86597";"43,06921";"26,825";
"01/01/2002 10:00:00";"-62,71382";"0,692975";"2,481115";"-88,72121";"20,86597";"12,27962";"15,71474";"31,70553";"-62,71382";"24";"30,05337";"27,02668";"12,27962";"20,86597";"48,48153";"27,75";
"01/01/2002 11:00:00";"-71,50755";"0,690641";"3,164323";"-97,21746";"20,86597";"12,27962";"15,71474";"35,9077";"-71,50755";"24";"31,21715";"27,60857";"12,27962";"20,86597";"53,12429";"28,75";
"01/01/2002 12:00:00";"0";"0,702766";"-0,260714";"0";"0";"0";"0";"42,60349";"0";"29,95317";"32,34283";"31,148";"0";"0";"0";"29,75";
"01/01/2002 13:00:00";"-84,07057";"0,689242";"3,714452";"-125,2477";"20,86597";"12,27962";"10,88452";"47,77464";"-80,47307";"24,21112";"33,9619";"29,08651";"12,27962";"20,86597";"68,44139";"29,775";
"01/01/2002 14:00:00";"-100,1384";"0,689179";"3,597168";"-123,2315";"20,86597";"12,27962";"15,68476";"45,64164";"-100,0014";"24,01254";"34,41319";"29,21286";"12,27962";"20,86597";"67,33964";"29,4";
"01/01/2002 15:00:00";"-104,0182";"0,689877";"3,383465";"-126,9277";"20,86597";"12,27962";"15,70913";"57,51078";"-103,9919";"24,00237";"35,05379";"29,52808";"12,27962";"20,86597";"69,35941";"29,075";
"01/01/2002 16:00:00";"-105,2669";"0,690557";"3,180634";"-128,0588";"20,86597";"12,27962";"15,71366";"42,29063";"-105,2617";"24,00046";"35,06791";"29,53418";"12,27962";"20,86597";"69,97749";"28,775";
"01/01/2002 17:00:00";"-100,5921";"0,691361";"2,924956";"-122,1736";"20,86597";"12,27962";"15,71453";"23,65358";"-100,5911";"24,00009";"34,34526";"29,17267";"12,27962";"20,86597";"66,76154";"28,4";
"01/01/2002 18:00:00";"0";"0,708315";"-1,935834";"0";"0";"0";"0";"2,097518";"0";"30,6923";"33,0336";"31,86295";"0";"0";"0";"28,075";
"01/01/2002 19:00:00";"0";"0,709067";"-2,536276";"0";"0";"0";"0";"0";"0";"31,25507";"32,27359";"31,76433";"0";"0";"0";"27,775";
"01/01/2002 20:00:00";"0";"0,709307";"-2,698093";"0";"0";"0";"0";"0";"0";"31,10863";"31,45019";"31,27941";"0";"0";"0";"27,4";
"01/01/2002 21:00:00";"0";"0,709124";"-2,477393";"0";"0";"0";"0";"0";"0";"30,46215";"30,70433";"30,58324";"0";"0";"0";"27,075";
"01/01/2002 22:00:00";"0";"0,706922";"-1,938817";"0";"0";"0";"0";"0";"0";"29,83894";"30,02175";"29,93035";"0";"0";"0";"27,225";
"01/01/2002 23:00:00";"0";"0,704492";"-1,327939";"0";"0";"0";"0";"0";"0";"29,33741";"29,45954";"29,39847";"0";"0";"0";"27,6";
"02/01/2002";"0";"0,702803";"-0,830139";"0";"0";"0";"0";"0";"0";"28,94577";"29,00601";"28,97589";"0";"0";"0";"27,925";
"02/01/2002 01:00:00";"0";"0,702294";"-0,682516";"0";"0";"0";"0";"0";"0";"28,58232";"28,62146";"28,60189";"0";"0";"0";"27,775";
"02/01/2002 02:00:00";"0";"0,702277";"-0,676836";"0";"0";"0";"0";"0";"0";"28,19791";"28,24571";"28,22181";"0";"0";"0";"27,4";
"02/01/2002 03:00:00";"0";"0,702136";"-0,637105";"0";"0";"0";"0";"0";"0";"27,81479";"27,86102";"27,83791";"0";"0";"0";"27,075";
"02/01/2002 04:00:00";"0";"0,702623";"-0,770266";"0";"0";"0";"0";"0";"0";"27,40459";"27,47461";"27,4396";"0";"0";"0";"26,475";
"02/01/2002 05:00:00";"0";"0,703166";"-0,922097";"0";"0";"0";"0";"0";"0";"26,99485";"27,10509";"27,04997";"0";"0";"0";"25,85";
"02/01/2002 06:00:00";"0";"0,703887";"-1,136782";"0";"0";"0";"0";"2,355765";"0";"26,62344";"26,79588";"26,70966";"0";"0";"0";"25,175";
"02/01/2002 07:00:00";"0";"0,702032";"-0,601173";"0";"0";"0";"0";"10,42081";"0";"26,66041";"26,88252";"26,77146";"0";"0";"0";"25,975";
"02/01/2002 08:00:00";"-46,76598";"0,694167";"2,118524";"-90,2273";"20,86597";"12,27962";"14,19344";"18,01986";"-45,64138";"24,12487";"27,67453";"25,8997";"12,27962";"20,86597";"49,30454";"27,35";
